term,category,source_note
selfish,harsh,"Common blame-intensity term, cf. moral character judgment literature (Uhlmann, Pizarro & Diermeier 2015)"
cruel,harsh,"High moral-intensity term"
callous,harsh,"High moral-intensity term"
inconsiderate,harsh,"Moderate moral-intensity term"
disrespectful,harsh,"Moderate moral-intensity term"
dismissive,harsh,"Moderate moral-intensity term"
hurtful,harsh,"Moderate moral-intensity term"
betrayal,harsh,"High moral-intensity term -- trust violation"
betrayed,harsh,"High moral-intensity term -- trust violation"
egregious,harsh,"High moral-intensity term"
inexcusable,harsh,"High moral-intensity term"
thoughtless,harsh,"Moderate moral-intensity term"
manipulative,harsh,"High moral-intensity term"
controlling,harsh,"Moderate moral-intensity term"
toxic,harsh,"High moral-intensity term"
unacceptable,harsh,"High moral-intensity term"
unforgivable,harsh,"High moral-intensity term"
reckless,harsh,"Moderate moral-intensity term"
negligent,harsh,"Moderate moral-intensity term"
deceptive,harsh,"High moral-intensity term"
dishonest,harsh,"High moral-intensity term"
harmful,harsh,"Moderate moral-intensity term"
damaging,harsh,"Moderate moral-intensity term"
unfair,harsh,"Moderate moral-intensity term; empirically frequent in corpus (104 occurrences)"
unjust,harsh,"Moderate moral-intensity term"
disregard,harsh,"Empirically dominant term in corpus (441 occurrences as verb/noun) -- also listed under agentic_communal/communal"
neglect,harsh,"Empirically frequent in corpus (106 occurrences); also listed under agentic_communal/communal"
dismiss,harsh,"Empirically frequent in corpus (180 occurrences as verb); also listed under agentic_communal/communal"
untrustworthy,harsh,"Empirically present in corpus (3 occurrences)"
understandable,mitigating,"Exculpatory / mitigating term"
reasonable,mitigating,"Exculpatory / mitigating term"
minor,mitigating,"Exculpatory / mitigating term -- severity minimization"
forgivable,mitigating,"Exculpatory / mitigating term"
human,mitigating,"Exculpatory / mitigating term -- normalization ('only human')"
normal,mitigating,"Exculpatory / mitigating term -- normalization"
justifiable,mitigating,"Exculpatory / mitigating term"
excusable,mitigating,"Exculpatory / mitigating term"
small,mitigating,"Exculpatory / mitigating term -- severity minimization"
harmless,mitigating,"Exculpatory / mitigating term"
valid,mitigating,"Exculpatory / mitigating term -- validates agent's perspective"
legitimate,mitigating,"Exculpatory / mitigating term -- validates agent's perspective"
innocent,mitigating,"Exculpatory / mitigating term"
unintentional,mitigating,"Exculpatory / mitigating term -- intent mitigation"
nonmalicious,mitigating,"Exculpatory / mitigating term -- intent mitigation (matches fixed intentionality condition)"
well-intentioned,mitigating,"Exculpatory / mitigating term -- intent mitigation"
natural,mitigating,"Exculpatory / mitigating term -- normalization"
common,mitigating,"Exculpatory / mitigating term -- normalization"
