vignette_id,model,pass_type,temperature,sample_num,family_id,family_name,scenario_id,task_object,violation_form,agent_gender,partner_gender,relationship_context,severity,intentionality,agent_name,partner_name,obligation_source,reasoning,obligation_identified,fault_rating,confidence
EMOLAB-01_MF_MLD,deepseek_v3,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,F,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 had established a pattern of providing emotional support by checking in after difficult days, which Agent 2 relied on. By knowingly choosing not to engage after a stressful day, Agent 1 failed to meet this reasonable expectation of support within a long-term relationship. However, the single instance and the description of the day as only 'moderately stressful' mitigate the severity of the lapse.","To provide emotional support by checking in after Agent 2's difficult days, as established by their relationship pattern.",4,85
EMOLAB-01_MF_SEV,deepseek_v3,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,F,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 had an established pattern of providing emotional support, which created a reasonable expectation for Agent 2. By knowingly choosing not to engage after being directly told Agent 2 felt unsupported, and by failing to change the pattern, Agent 1 breached the obligation of mutual care in a committed relationship. This represents a clear and sustained failure to meet a basic relational expectation.","To provide consistent emotional support and check in after difficult days, especially after being made aware of the partner's need.",5,85
EMOLAB-01_FM_MLD,deepseek_v3,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 had established a pattern of providing emotional support, which created a reasonable expectation for Agent 2. While no one is obligated to provide support every single time, Agent 1's conscious choice not to engage after knowing Agent 2 wanted to talk, and the subsequent refusal to change the pattern after being told it caused hurt, shows a disregard for the partner's expressed emotional needs within the relationship.","To provide consistent emotional support and check in after difficult days, as established by their relationship pattern.",5,85
EMOLAB-01_FM_SEV,deepseek_v3,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 had established a pattern of providing emotional support, which created a reasonable expectation for Agent 2. By knowingly choosing not to engage after being directly told Agent 2 felt unsupported, and then failing to change the pattern, Agent 1 breached the obligation of mutual care in a committed relationship. This represents a clear and sustained failure to meet a basic relational expectation.","To provide consistent emotional support and check in after difficult days, especially after the need was explicitly communicated.",5,90
EMOLAB-01_MM_MLD,deepseek_v3,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 had established a pattern of providing emotional support, creating a reasonable expectation from Agent 2. While missing a single check-in is a minor lapse, Agent 1's conscious choice not to engage despite knowing Agent 2 wanted to talk, and the subsequent refusal to change the pattern, shows a disregard for the partner's expressed emotional needs.","To provide consistent emotional support and check in after difficult days, as established in their relationship.",5,85
EMOLAB-01_MM_SEV,deepseek_v3,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 had established a pattern of providing emotional support by checking in after difficult days, creating a reasonable expectation in the relationship. By knowingly choosing not to engage despite understanding Agent 2's need, and failing to change this pattern after being directly told it caused feelings of being unsupported, Agent 1 neglected a basic relational obligation. This represents a clear and repeated failure to meet a partner's communicated emotional needs.","To provide consistent emotional support by checking in after difficult days, especially after the need was explicitly communicated.",5,90
EMOLAB-01_FF_MLD,deepseek_v3,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,F,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 had established a pattern of providing emotional support, which created a reasonable expectation for Agent 2. By knowingly choosing not to engage after a stressful day, Agent 1 failed to meet this relational obligation. However, the single instance and the day being only moderately stressful mitigate the severity of the fault.","To provide emotional support by checking in after difficult days, as established by their relationship pattern.",4,85
EMOLAB-01_FF_SEV,deepseek_v3,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,F,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 had an established pattern of providing emotional support by checking in after difficult days, which Agent 2 relied on. By knowingly choosing not to engage despite understanding Agent 2's need, and failing to change the pattern after being directly told it caused feelings of unsupport, Agent 1 breached a reasonable expectation of care in a long-term relationship. This represents a clear and ongoing failure to meet a basic relational obligation.","To provide consistent emotional support and check in after partner's difficult days, especially after the need was explicitly communicated.",5,85
EMOLAB-01_NBM_MLD,deepseek_v3,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,NB,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 had established a pattern of providing emotional support, which created a reasonable expectation for Agent 2. While one missed check-in is a minor lapse, Agent 1's conscious choice not to engage despite knowing Agent 2's need, and the subsequent refusal to change the pattern, shows a disregard for the partner's expressed emotional needs. This represents a clear failure in the supportive role of a long-term partnership.","To provide consistent emotional support and check in after difficult days, as established by the relationship pattern.",5,85
EMOLAB-01_NBM_SEV,deepseek_v3,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,NB,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 had established a pattern of providing emotional support, which created a reasonable expectation for Agent 2. By knowingly choosing not to engage after being directly told Agent 2 felt unsupported, and then failing to change the pattern, Agent 1 neglected a core relational obligation. This represents a clear and sustained failure to meet a partner's communicated emotional needs.","To provide consistent emotional support and check in after difficult days, especially after the need was explicitly communicated.",5,85
