vignette_id,model,pass_type,temperature,sample_num,family_id,family_name,scenario_id,task_object,violation_form,agent_gender,partner_gender,relationship_context,severity,intentionality,agent_name,partner_name,obligation_source,reasoning,obligation_identified,fault_rating,confidence
EMOLAB-01_MF_MLD,llama33,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,F,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 was in the wrong because they chose not to engage with Agent 2 after a stressful day, despite knowing Agent 2 wanted to talk and having a history of checking in after difficult days.",emotional support and checking in,5,80
EMOLAB-01_MF_SEV,llama33,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,F,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 was aware of Agent 2's need for support and chose not to engage, despite knowing Agent 2 wanted to talk, which indicates a lack of emotional support and understanding in the relationship. This behavior, continued over several months, suggests a significant breach of emotional support expectations. Agent 1's decision not to change this pattern after being informed of Agent 2's feelings further exacerbates the issue.",emotional support and checking in,6,90
EMOLAB-01_FM_MLD,llama33,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 was in the wrong because she knowingly chose not to engage with Agent 2 after a stressful day, despite being aware of Agent 2's need for support and having a history of providing it.",emotional support,5,80
EMOLAB-01_FM_SEV,llama33,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 was aware of Agent 2's need for support and chose not to engage, despite knowing Agent 2 wanted to talk, which indicates a lack of emotional support and understanding in the relationship. This behavior has continued over several months, showing a pattern of disregard for Agent 2's feelings. Agent 1's actions demonstrate a significant breach of the emotional support expected in a relationship.",emotional support,6,90
EMOLAB-01_MM_MLD,llama33,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 was in the wrong because he knowingly chose not to engage with Agent 2 despite being aware of Agent 2's desire to talk after a stressful day, which is a breach of the emotional support expectation that had been established in their relationship. This behavior has continued unchanged, indicating a lack of effort to meet Agent 2's emotional needs. Agent 1's decision to ignore Agent 2's desire for support after a moderately stressful day was a significant lapse in their established pattern of communication and emotional support.",emotional support and checking in,5,80
EMOLAB-01_MM_SEV,llama33,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 was aware of Agent 2's need for support and chose not to engage, despite knowing Agent 2 wanted to talk, which indicates a lack of emotional support and understanding in the relationship. This behavior has continued over several months, showing a consistent disregard for Agent 2's feelings. Agent 1's decision not to ask about Agent 2's day after difficult days, despite Agent 2's reliance on this support, further exacerbates the issue.",emotional support and checking in,6,90
EMOLAB-01_FF_MLD,llama33,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,F,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 was in the wrong because she knew Agent 2 wanted to talk and chose not to engage, which is a breach of the emotional support expectation that had been established in their relationship. By not checking in and ignoring Agent 2's need for support, Agent 1 failed to meet her partner's emotional needs. This failure to adapt to Agent 2's needs and instead choosing to disengage is a significant lapse in their relationship dynamic.",emotional support and checking in,5,80
EMOLAB-01_FF_SEV,llama33,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,F,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 was aware of Agent 2's need for support and had previously fulfilled that need, but chose to stop doing so despite knowing it was important to Agent 2, showing a lack of consideration for Agent 2's feelings and needs. Agent 1's decision not to engage with Agent 2 after being told about the feeling of being unsupported further indicates a disregard for Agent 2's emotional well-being. This behavior suggests that Agent 1 was prioritizing their own desires over Agent 2's needs, which is a significant breach of the emotional support expected in a relationship.",emotional support and checking in,6,90
EMOLAB-01_NBM_MLD,llama33,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,NB,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 was in the wrong because they knew Agent 2 wanted to talk after a stressful day but chose not to engage, which is a breach of the emotional support expectation in their relationship. This action, combined with not changing the pattern since, shows a lack of effort to meet Agent 2's emotional needs. However, it's a single instance of not checking in, which might not be a severe breach but still a notable lapse.",emotional support,4,80
EMOLAB-01_NBM_SEV,llama33,confirmatory,0.1,1,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,NB,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 was aware of Agent 2's need for support and chose not to engage, despite knowing Agent 2 wanted to talk, which indicates a lack of effort to meet Agent 2's emotional needs.",emotional support,6,90
