term,category,source_note
assertive,agentic,"Abele & Wojciszke (2007) agency trait adjectives"
ambitious,agentic,"Abele & Wojciszke (2007) agency trait adjectives"
competitive,agentic,"Abele & Wojciszke (2007) agency trait adjectives"
confident,agentic,"Abele & Wojciszke (2007) agency trait adjectives"
decisive,agentic,"Abele & Wojciszke (2007) agency trait adjectives"
dominant,agentic,"Bakan (1966) agency construct; Abele & Wojciszke (2007)"
independent,agentic,"Abele & Wojciszke (2007) agency trait adjectives"
self-reliant,agentic,"Abele & Wojciszke (2007) agency trait adjectives"
capable,agentic,"Abele & Wojciszke (2007) agency trait adjectives"
efficient,agentic,"Abele & Wojciszke (2007) agency trait adjectives"
rational,agentic,"Abele & Wojciszke (2007) agency trait adjectives"
controlling,agentic,"Bakan (1966) agency construct, negative pole"
self-focused,agentic,"Bakan (1966) agency construct, negative pole"
individualistic,agentic,"Bakan (1966) agency construct"
forceful,agentic,"Abele & Wojciszke (2007) agency trait adjectives"
driven,agentic,"Diekman & Eagly (2000) dynamic-stereotype adaptation"
autonomous,agentic,"Bakan (1966) agency construct"
self-interested,agentic,"Bakan (1966) agency construct, negative pole"
selfish,agentic,"Bakan (1966) agency construct, negative pole; common blame-language term"
self-centered,agentic,"Bakan (1966) agency construct, negative pole"
unilateral,agentic,"Adapted for this domain -- unilateral decision-making as agency-without-communion"
entitled,agentic,"Adapted for this domain -- common blame-language term for agency overreach"
stubborn,agentic,"Abele & Wojciszke (2007) agency trait adjectives, negative pole"
arrogant,agentic,"Abele & Wojciszke (2007) agency trait adjectives, negative pole"
aggressive,agentic,"Empirically frequent in corpus (7 occurrences); agency construct, negative pole"
possessive,agentic,"Empirically present in corpus (2 occurrences); agency-without-communion, esp. relevant to Jealousy/possessiveness family"
demanding,agentic,"Adapted for this domain -- agency-without-communion"
caring,communal,"Abele & Wojciszke (2007) communion trait adjectives"
warm,communal,"Abele & Wojciszke (2007) communion trait adjectives; Fiske et al. (2002) SCM warmth dimension"
kind,communal,"Abele & Wojciszke (2007) communion trait adjectives"
considerate,communal,"Abele & Wojciszke (2007) communion trait adjectives"
supportive,communal,"Abele & Wojciszke (2007) communion trait adjectives"
nurturing,communal,"Bakan (1966) communion construct"
sympathetic,communal,"Abele & Wojciszke (2007) communion trait adjectives"
compassionate,communal,"Abele & Wojciszke (2007) communion trait adjectives"
cooperative,communal,"Abele & Wojciszke (2007) communion trait adjectives"
understanding,communal,"Abele & Wojciszke (2007) communion trait adjectives"
gentle,communal,"Abele & Wojciszke (2007) communion trait adjectives"
sensitive,communal,"Abele & Wojciszke (2007) communion trait adjectives"
empathetic,communal,"Abele & Wojciszke (2007) communion trait adjectives"
helpful,communal,"Abele & Wojciszke (2007) communion trait adjectives"
affectionate,communal,"Abele & Wojciszke (2007) communion trait adjectives"
accommodating,communal,"Abele & Wojciszke (2007) communion trait adjectives"
attentive,communal,"Abele & Wojciszke (2007) communion trait adjectives"
thoughtful,communal,"Abele & Wojciszke (2007) communion trait adjectives"
uncaring,communal,"Negated communion -- failure-of-communion blame language"
unsupportive,communal,"Negated communion -- failure-of-communion blame language"
uncompassionate,communal,"Negated communion -- failure-of-communion blame language"
insensitive,communal,"Negated communion -- failure-of-communion blame language"
unsympathetic,communal,"Negated communion -- failure-of-communion blame language"
dismissive,communal,"Negated communion -- failure-of-communion blame language"
neglectful,communal,"Negated communion -- failure-of-communion blame language"
cold,communal,"Fiske et al. (2002) SCM warmth dimension, negative pole"
distant,communal,"Negated communion -- failure-of-communion blame language"
withholding,communal,"Negated communion -- failure-of-communion blame language"
unaccommodating,communal,"Negated communion -- failure-of-communion blame language"
disregard,communal,"Empirically dominant term in corpus (441 occurrences as verb/noun) -- core failure-of-communion blame language in this dataset"
neglect,communal,"Empirically frequent in corpus (106 occurrences); failure-of-communion blame language"
dismiss,communal,"Empirically frequent in corpus (180 occurrences as verb, separate lemma from the adjective 'dismissive' already listed); failure-of-communion blame language"
ignore,communal,"Empirically frequent in corpus (40 occurrences); failure-of-communion blame language"
undermine,communal,"Empirically frequent in corpus (58 occurrences); failure-of-communion blame language"
refuse,communal,"Empirically frequent in corpus (91 occurrences), typically 'refused to communicate/compromise' -- failure-of-communion blame language"
withhold,communal,"Empirically present in corpus (8 occurrences as verb, separate lemma from 'withholding' already listed)"
inconsiderate,communal,"Also listed under moral-intensity/harsh; directly a communal-negative trait term"
untrustworthy,communal,"Empirically present in corpus (3 occurrences); failure-of-communion (trust) blame language"
