vignette_id,family_id,family_name,scenario_id,task_object,violation_form,agent_gender,partner_gender,relationship_context,severity,intentionality,agent_name,partner_name,obligation_source,vignette_text
EMOLAB-01_MF_MLD,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,F,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (male) and Agent 2 (female) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 did not ask how Agent 2's day went once, after a moderately stressful day. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_MF_SEV,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,F,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (male) and Agent 2 (female) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 has repeatedly not asked how Agent 2's day went after difficult days, over several months. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_FM_MLD,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (female) and Agent 2 (male) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 did not ask how Agent 2's day went once, after a moderately stressful day. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_FM_SEV,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (female) and Agent 2 (male) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 has repeatedly not asked how Agent 2's day went after difficult days, over several months. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_MM_MLD,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (male) and Agent 2 (male) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 did not ask how Agent 2's day went once, after a moderately stressful day. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_MM_SEV,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (male) and Agent 2 (male) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 has repeatedly not asked how Agent 2's day went after difficult days, over several months. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_FF_MLD,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,F,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (female) and Agent 2 (female) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 did not ask how Agent 2's day went once, after a moderately stressful day. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_FF_SEV,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,F,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (female) and Agent 2 (female) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 has repeatedly not asked how Agent 2's day went after difficult days, over several months. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_NBM_MLD,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,NB,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (nonbinary) and Agent 2 (male) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 did not ask how Agent 2's day went once, after a moderately stressful day. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_NBM_SEV,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,NB,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (nonbinary) and Agent 2 (male) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 has repeatedly not asked how Agent 2's day went after difficult days, over several months. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_NBF_MLD,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,NB,F,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (nonbinary) and Agent 2 (female) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 did not ask how Agent 2's day went once, after a moderately stressful day. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_NBF_SEV,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,NB,F,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (nonbinary) and Agent 2 (female) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 has repeatedly not asked how Agent 2's day went after difficult days, over several months. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_NBNB_MLD,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,NB,NB,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (nonbinary) and Agent 2 (nonbinary) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 did not ask how Agent 2's day went once, after a moderately stressful day. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_NBNB_SEV,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,NB,NB,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (nonbinary) and Agent 2 (nonbinary) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 has repeatedly not asked how Agent 2's day went after difficult days, over several months. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_MNB_MLD,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,NB,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (male) and Agent 2 (nonbinary) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 did not ask how Agent 2's day went once, after a moderately stressful day. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_MNB_SEV,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,M,NB,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (male) and Agent 2 (nonbinary) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 has repeatedly not asked how Agent 2's day went after difficult days, over several months. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_FNB_MLD,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,NB,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (female) and Agent 2 (nonbinary) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 did not ask how Agent 2's day went once, after a moderately stressful day. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-01_FNB_SEV,EMOLAB,Emotional labor,EMOLAB-01,checking in after hard days,withdrew engagement,F,NB,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,need_responsive_relational_duty,"Agent 1 (female) and Agent 2 (nonbinary) have been dating for 3 years. Agent 2 has come to rely on Agent 1 to check in after difficult days, and Agent 1 has generally done so. Agent 1 has repeatedly not asked how Agent 2's day went after difficult days, over several months. Agent 2 told Agent 1 that Agent 2 felt unsupported. Agent 1 said Agent 1 knew Agent 2 wanted to talk but chose not to engage. Agent 1 has not changed this pattern since. Was Agent 1 in the wrong?"
EMOLAB-02_MF_MLD,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,M,F,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (male) and Agent 2 (female) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 again didn't reach out after a recent disagreement, leaving Agent 2 to initiate reconciliation. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_MF_SEV,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,M,F,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (male) and Agent 2 (female) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 has repeatedly waited for Agent 2 to initiate reconciliation after disagreements over several months, despite Agent 2 raising it. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_FM_MLD,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,F,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (female) and Agent 2 (male) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 again didn't reach out after a recent disagreement, leaving Agent 2 to initiate reconciliation. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_FM_SEV,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,F,M,"dating, 3 years",SEV,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (female) and Agent 2 (male) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 has repeatedly waited for Agent 2 to initiate reconciliation after disagreements over several months, despite Agent 2 raising it. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
EMOLAB-02_MM_MLD,EMOLAB,Emotional labor,EMOLAB-02,initiating repair after arguments,left the burden of reconciliation to partner,M,M,"dating, 3 years",MLD,knowing_but_nonmalicious,Agent 1,Agent 2,contribution_based_reciprocity,"Agent 1 (male) and Agent 2 (male) have been dating for 3 years. Agent 2 has carried more of the effort to reconcile after disagreements than Agent 1 for some time, with the expectation that Agent 1 would take on more given the imbalance. Agent 1 again didn't reach out after a recent disagreement, leaving Agent 2 to initiate reconciliation. Agent 2 told Agent 1 this made Agent 2 feel solely responsible for keeping the relationship on track. Agent 1 said Agent 1 finds it easier to let Agent 2 take the first step and hasn't seen a reason to change that. Agent 1 has continued to wait for Agent 2 to initiate repair. Was Agent 1 in the wrong?"
